PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,33.31079045,130.2929237,24.219,57656.569,-47240.59,2,5030,23,29
2,33.31079146,130.2929252,24.216,57656.878,-47240.21,2,5030,23,29
3,33.31079226,130.2929268,24.213,57657.121,-47239.785,2,5030,23,29
4,33.31079282,130.2929286,24.209,57657.292,-47239.327,2,5030,23,29
5,33.31079313,130.2929304,24.205,57657.386,-47238.846,2,5030,23,29
6,33.31079319,130.2929323,24.201,57657.4,-47238.357,2,5030,23,29
7,33.31079298,130.2929342,24.198,57657.335,-47237.872,2,5030,23,29
8,33.31079253,130.292936,24.198,57657.192,-47237.404,2,5030,23,29
9,33.31079183,130.2929377,24.2,57656.975,-47236.965,2,5030,23,29
10,33.31079091,130.2929393,24.202,57656.689,-47236.568,2,5030,23,29
11,33.31079001,130.2929404,24.203,57656.41,-47236.281,2,5030,23,29
12,33.31069448,130.2930439,24.082,57626.849,-47209.712,2,5030,23,29
13,33.31069287,130.2930455,24.078,57626.353,-47209.32,2,5030,23,29
14,33.31069112,130.2930467,24.073,57625.812,-47208.993,2,5030,23,29
15,33.31068925,130.2930477,24.07,57625.234,-47208.738,2,5030,23,29
16,33.31068728,130.2930484,24.073,57624.628,-47208.557,2,5030,23,29
17,33.31068526,130.2930489,24.076,57624.004,-47208.455,2,5030,23,29
18,33.31068321,130.293049,24.079,57623.372,-47208.432,2,5030,23,29
19,33.31068117,130.2930487,24.083,57622.743,-47208.489,2,5030,23,29
20,33.31067916,130.2930482,24.088,57622.125,-47208.625,2,5030,23,29
21,33.31067722,130.2930474,24.092,57621.53,-47208.838,2,5030,23,29
22,33.31067539,130.2930463,24.096,57620.966,-47209.124,2,5030,23,29
23,33.31067369,130.2930449,24.101,57620.443,-47209.479,2,5030,23,29
24,33.31067214,130.2930433,24.105,57619.969,-47209.897,2,5030,23,29
25,33.31067195,130.2930431,24.106,57619.912,-47209.954,2,5030,23,29
26,33.31065317,130.2930201,24.163,57614.153,-47215.91,2,5030,23,29
27,33.31065295,130.2930199,24.164,57614.088,-47215.978,2,5030,23,29
28,33.31065165,130.293018,24.172,57613.688,-47216.467,2,5030,23,29
29,33.31065055,130.2930159,24.184,57613.352,-47217.003,2,5030,23,29
30,33.31065031,130.2930154,24.194,57613.279,-47217.143,2,5030,23,29
31,33.31064979,130.293014,24.217,57613.121,-47217.489,2,5030,23,29
32,33.31064913,130.2930117,24.253,57612.919,-47218.088,2,5030,23,29
33,33.31064871,130.2930093,24.284,57612.794,-47218.708,2,5030,23,29
34,33.31064855,130.2930069,24.31,57612.748,-47219.338,2,5030,23,29
35,33.31064865,130.2930044,24.33,57612.782,-47219.969,2,5030,23,29
36,33.31064901,130.293002,24.347,57612.895,-47220.591,2,5030,23,29
37,33.31064962,130.2929997,24.37,57613.086,-47221.194,2,5030,23,29
38,33.31065047,130.2929975,24.386,57613.351,-47221.768,2,5030,23,29
39,33.31065155,130.2929954,24.397,57613.687,-47222.303,2,5030,23,29
40,33.31065284,130.2929935,24.406,57614.087,-47222.792,2,5030,23,29
41,33.31065341,130.2929928,24.409,57614.262,-47222.971,2,5030,23,29
42,33.31065475,130.2929912,24.416,57614.676,-47223.374,2,5030,23,29
43,33.31065822,130.2929871,24.435,57615.752,-47224.419,2,5030,23,29
44,33.31065961,130.2929855,24.442,57616.183,-47224.838,2,5030,23,29
45,33.31066981,130.2929736,24.496,57619.339,-47227.905,2,5030,23,29
46,33.31067082,130.2929726,24.5,57619.652,-47228.154,2,5030,23,29
47,33.31067197,130.2929719,24.502,57620.008,-47228.335,2,5030,23,29
48,33.31067322,130.2929715,24.501,57620.393,-47228.442,2,5030,23,29
49,33.31067451,130.2929713,24.496,57620.791,-47228.471,2,5030,23,29
50,33.3106758,130.2929715,24.489,57621.187,-47228.419,2,5030,23,29
51,33.31067703,130.292972,24.482,57621.565,-47228.29,2,5030,23,29
52,33.31067815,130.2929728,24.473,57621.91,-47228.088,2,5030,23,29
53,33.31067893,130.2929736,24.466,57622.15,-47227.883,2,5030,23,29
54,33.31065174,130.2926395,24.793,57614.194,-47314.123,2,5030,23,29
55,33.31064946,130.2926368,24.799,57613.496,-47314.838,2,5030,23,29
56,33.31064864,130.2926356,24.801,57613.246,-47315.15,2,5030,23,29
57,33.31064805,130.2926342,24.803,57613.064,-47315.506,2,5030,23,29
58,33.31064769,130.2926327,24.804,57612.956,-47315.89,2,5030,23,29
59,33.31064759,130.2926312,24.806,57612.927,-47316.289,2,5030,23,29
60,33.31064775,130.2926296,24.807,57612.977,-47316.685,2,5030,23,29
61,33.31064816,130.2926282,24.807,57613.106,-47317.063,2,5030,23,29
62,33.3106488,130.2926268,24.806,57613.307,-47317.409,2,5030,23,29
63,33.31064952,130.2926258,24.805,57613.529,-47317.666,2,5030,23,29
64,33.31067338,130.2925977,24.774,57620.916,-47324.883,2,5030,23,29
65,33.3106744,130.2925967,24.774,57621.229,-47325.132,2,5030,23,29
66,33.31067555,130.292596,24.773,57621.584,-47325.314,2,5030,23,29
67,33.31067679,130.2925956,24.774,57621.969,-47325.422,2,5030,23,29
68,33.31067809,130.2925955,24.773,57622.367,-47325.451,2,5030,23,29
69,33.31067937,130.2925957,24.773,57622.763,-47325.401,2,5030,23,29
70,33.3106806,130.2925962,24.773,57623.142,-47325.273,2,5030,23,29
71,33.31068173,130.2925969,24.773,57623.487,-47325.072,2,5030,23,29
72,33.31068257,130.2925978,24.773,57623.745,-47324.85,2,5030,23,29
73,33.31068484,130.2926006,24.773,57624.443,-47324.134,2,5030,23,29
74,33.310612,130.2926864,24.827,57601.886,-47302.099,2,5030,23,29
75,33.3106097,130.2926836,24.827,57601.187,-47302.814,2,5030,23,29
76,33.31060888,130.2926824,24.831,57600.938,-47303.126,2,5030,23,29
77,33.31060828,130.292681,24.835,57600.755,-47303.482,2,5030,23,29
78,33.31060793,130.2926795,24.838,57600.648,-47303.867,2,5030,23,29
79,33.31060783,130.292678,24.84,57600.618,-47304.265,2,5030,23,29
80,33.31060799,130.2926765,24.841,57600.669,-47304.661,2,5030,23,29
81,33.31060839,130.292675,24.839,57600.797,-47305.04,2,5030,23,29
82,33.31060904,130.2926737,24.838,57600.998,-47305.385,2,5030,23,29
83,33.31060976,130.2926727,24.837,57601.22,-47305.642,2,5030,23,29
84,33.31063345,130.2926448,24.816,57608.554,-47312.806,2,5030,23,29
85,33.31063446,130.2926438,24.815,57608.866,-47313.056,2,5030,23,29
86,33.31063561,130.2926431,24.813,57609.221,-47313.238,2,5030,23,29
87,33.31063686,130.2926426,24.811,57609.606,-47313.346,2,5030,23,29
88,33.31063815,130.2926425,24.809,57610.005,-47313.375,2,5030,23,29
89,33.31063944,130.2926427,24.807,57610.401,-47313.324,2,5030,23,29
90,33.31064067,130.2926432,24.806,57610.779,-47313.196,2,5030,23,29
91,33.31064179,130.292644,24.803,57611.125,-47312.995,2,5030,23,29
92,33.31064263,130.2926448,24.801,57611.382,-47312.773,2,5030,23,29
93,33.31064491,130.2926476,24.795,57612.081,-47312.058,2,5030,23,29
94,33.31062323,130.2929511,24.414,57605.019,-47233.784,2,5030,23,29
95,33.31062415,130.2929524,24.422,57605.3,-47233.437,2,5030,23,29
96,33.31062486,130.2929539,24.429,57605.515,-47233.045,2,5030,23,29
97,33.31062533,130.2929555,24.436,57605.658,-47232.622,2,5030,23,29
98,33.31062554,130.2929573,24.442,57605.722,-47232.18,2,5030,23,29
99,33.3106255,130.292959,24.447,57605.707,-47231.733,2,5030,23,29
100,33.3106252,130.2929607,24.451,57605.612,-47231.296,2,5030,23,29
101,33.31062465,130.2929623,24.454,57605.442,-47230.883,2,5030,23,29
102,33.31062415,130.2929633,24.455,57605.285,-47230.624,2,5030,23,29
103,33.3106225,130.2929645,24.452,57604.777,-47230.307,2,5030,23,29
104,33.31062073,130.2929655,24.448,57604.23,-47230.06,2,5030,23,29
105,33.31061887,130.2929662,24.444,57603.656,-47229.887,2,5030,23,29
106,33.31061695,130.2929666,24.447,57603.064,-47229.793,2,5030,23,29
107,33.310615,130.2929666,24.448,57602.464,-47229.779,2,5030,23,29
108,33.31061307,130.2929664,24.446,57601.868,-47229.844,2,5030,23,29
109,33.31061118,130.2929658,24.441,57601.286,-47229.988,2,5030,23,29
110,33.31060936,130.292965,24.434,57600.728,-47230.208,2,5030,23,29
111,33.31060766,130.2929639,24.425,57600.204,-47230.5,2,5030,23,29
112,33.31060609,130.2929625,24.414,57599.724,-47230.859,2,5030,23,29
113,33.3106051,130.2929614,24.405,57599.419,-47231.146,2,5030,23,29
114,33.31060419,130.2929603,24.396,57599.142,-47231.433,2,5030,23,29
115,33.31060102,130.2929564,24.364,57598.169,-47232.439,2,5030,23,29
116,33.31059949,130.2929545,24.349,57597.701,-47232.924,2,5030,23,29
117,33.31055879,130.2929048,24.5,57585.224,-47245.825,2,5030,23,29
118,33.31055725,130.2929027,24.507,57584.753,-47246.371,2,5030,23,29
119,33.31055592,130.2929004,24.516,57584.345,-47246.965,2,5030,23,29
120,33.3105548,130.2928979,24.535,57584.004,-47247.6,2,5030,23,29
121,33.31055392,130.2928953,24.554,57583.737,-47248.27,2,5030,23,29
122,33.31055329,130.2928926,24.571,57583.545,-47248.964,2,5030,23,29
123,33.31055291,130.2928899,24.588,57583.431,-47249.676,2,5030,23,29
124,33.31055279,130.2928871,24.603,57583.397,-47250.396,2,5030,23,29
125,33.31055292,130.2928843,24.62,57583.443,-47251.116,2,5030,23,29
126,33.31055303,130.2928834,24.626,57583.476,-47251.355,2,5030,23,29
127,33.31055335,130.2928819,24.635,57583.577,-47251.742,2,5030,23,29
128,33.31055392,130.2928805,24.642,57583.754,-47252.101,2,5030,23,29
129,33.3105547,130.2928792,24.647,57583.997,-47252.417,2,5030,23,29
130,33.31055568,130.2928782,24.65,57584.299,-47252.679,2,5030,23,29
131,33.3105568,130.2928775,24.651,57584.647,-47252.875,2,5030,23,29
132,33.31055803,130.292877,24.65,57585.027,-47252.999,2,5030,23,29
133,33.31055932,130.2928768,24.647,57585.424,-47253.044,2,5030,23,29
134,33.31056062,130.2928769,24.642,57585.822,-47253.01,2,5030,23,29
135,33.31056186,130.2928773,24.635,57586.205,-47252.897,2,5030,23,29
136,33.31056301,130.2928781,24.627,57586.558,-47252.71,2,5030,23,29
137,33.31056408,130.2928791,24.605,57586.886,-47252.438,2,5030,23,29
138,33.31045374,130.2930366,24.387,57552.696,-47211.977,2,5030,23,29
139,33.31045292,130.2930377,24.386,57552.44,-47211.671,2,5030,23,29
140,33.3104523,130.2930391,24.385,57552.25,-47211.32,2,5030,23,29
141,33.31045193,130.2930406,24.383,57552.133,-47210.938,2,5030,23,29
142,33.31045181,130.2930421,24.38,57552.095,-47210.54,2,5030,23,29
143,33.31045195,130.2930437,24.378,57552.136,-47210.143,2,5030,23,29
144,33.31045235,130.2930452,24.376,57552.256,-47209.761,2,5030,23,29
145,33.31045298,130.2930465,24.374,57552.449,-47209.412,2,5030,23,29
146,33.31045369,130.2930475,24.371,57552.665,-47209.149,2,5030,23,29
147,33.31049349,130.2930956,24.205,57564.866,-47196.672,2,5030,23,29
148,33.31049487,130.2930971,24.2,57565.289,-47196.297,2,5030,23,29
149,33.3104964,130.2930983,24.195,57565.761,-47195.985,2,5030,23,29
150,33.31049807,130.2930992,24.189,57566.272,-47195.742,2,5030,23,29
151,33.31049982,130.2930999,24.183,57566.811,-47195.574,2,5030,23,29
152,33.31050163,130.2931002,24.15,57567.369,-47195.484,2,5030,23,29
153,33.31050347,130.2931002,24.12,57567.935,-47195.474,2,5030,23,29
